timestamp,report_month,report_year,jurisdiction,offender_profiles,arrestee,forensic_profiles,ndis_labs,investigations_aided,parser_used,source_file,capture_date,capture_year
20010913001814,,,West Virginia,0,0,0,1,0,pre2007,20010913001814_wv.html,2001-09-13 00:18:14,2001
20010913001815,,,U.S. Army,0,0,562,1,4,pre2007,20010913001815_army.html,2001-09-13 00:18:15,2001
20010913001815,,,Wyoming,4206,0,4,1,0,pre2007,20010913001815_wy.html,2001-09-13 00:18:15,2001
20010913041741,,,Alaska,792,0,21,1,1,pre2007,20010913041741_ak.html,2001-09-13 04:17:41,2001
20010913041742,,,Alabama,0,0,0,4,88,pre2007,20010913041742_al.html,2001-09-13 04:17:42,2001
20010913041742,,,Arkansas,10211,0,75,1,7,pre2007,20010913041742_ar.html,2001-09-13 04:17:42,2001
20010913041743,,,California,15665,0,272,8,52,pre2007,20010913041743_ca.html,2001-09-13 04:17:43,2001
20010913041744,,,Delaware,0,0,0,1,0,pre2007,20010913041744_de.html,2001-09-13 04:17:44,2001
20010913041745,,,Georgia,15744,0,1929,2,146,pre2007,20010913041745_ga.html,2001-09-13 04:17:45,2001
20010913041745,,,Hawaii,0,0,0,0,0,pre2007,20010913041745_hi.html,2001-09-13 04:17:45,2001
20010913041746,,,Iowa,0,0,0,1,0,pre2007,20010913041746_ia.html,2001-09-13 04:17:46,2001
20010913041747,,,Idaho,0,0,0,1,0,pre2007,20010913041747_id.html,2001-09-13 04:17:47,2001
20010913041747,,,Illinois,21416,0,2368,8,296,pre2007,20010913041747_il.html,2001-09-13 04:17:47,2001
20010913041748,,,Kansas,1777,0,204,4,0,pre2007,20010913041748_ks.html,2001-09-13 04:17:48,2001
20010913041749,,,Kentucky,3233,0,351,1,24,pre2007,20010913041749_ky.html,2001-09-13 04:17:49,2001
20010913041752,,,Massachusetts,3028,0,246,1,14,pre2007,20010913041752_ma.html,2001-09-13 04:17:52,2001
20010913041753,,,Maine,2997,0,237,1,14,pre2007,20010913041753_me.html,2001-09-13 04:17:53,2001
20010913041753,,,Maryland,1963,0,297,1,6,pre2007,20010913041753_md.html,2001-09-13 04:17:53,2001
20010913041754,,,Minnesota,9789,0,855,1,35,pre2007,20010913041754_mn.html,2001-09-13 04:17:54,2001
20010913041755,,,Montana,0,0,0,1,0,pre2007,20010913041755_mt.html,2001-09-13 04:17:55,2001
20010913041755,,,North Carolina,23587,0,753,2,40,pre2007,20010913041755_nc.html,2001-09-13 04:17:55,2001
20010913041756,,,Nebraska,1215,0,0,1,0,pre2007,20010913041756_ne.html,2001-09-13 04:17:56,2001
20010913041756,,,North Dakota,270,0,0,1,0,pre2007,20010913041756_nd.html,2001-09-13 04:17:56,2001
20010913041757,,,New Jersey,4911,0,271,1,6,pre2007,20010913041757_nj.html,2001-09-13 04:17:57,2001
20010913041757,,,New Mexico,2899,0,41,3,3,pre2007,20010913041757_nm.html,2001-09-13 04:17:57,2001
20010913041758,,,Nevada,2367,0,87,2,7,pre2007,20010913041758_nv.html,2001-09-13 04:17:58,2001
20010913041758,,,New York,45428,0,1810,7,109,pre2007,20010913041758_ny.html,2001-09-13 04:17:58,2001
20010913041758,,,Oklahoma,0,0,0,1,0,pre2007,20010913041758_ok.html,2001-09-13 04:17:58,2001
20010913041759,,,Oregon,16983,0,577,1,48,pre2007,20010913041759_or.html,2001-09-13 04:17:59,2001
20010913041759,,,Pennsylvania,9889,0,921,3,70,pre2007,20010913041759_pa.html,2001-09-13 04:17:59,2001
20010913041800,,,South Carolina,1658,0,198,1,3,pre2007,20010913041800_sc.html,2001-09-13 04:18:00,2001
20010913041801,,,Texas,61786,0,2200,15,147,pre2007,20010913041801_tx.html,2001-09-13 04:18:01,2001
20010913041801,,,Utah,2526,0,77,1,1,pre2007,20010913041801_ut.html,2001-09-13 04:18:01,2001
20010913041803,,,Virginia,42815,0,348,4,420,pre2007,20010913041803_va.html,2001-09-13 04:18:03,2001
20010913041804,,,Vermont,207,0,1,1,0,pre2007,20010913041804_vt.html,2001-09-13 04:18:04,2001
20010913041804,,,Washington,28983,0,72,3,8,pre2007,20010913041804_wa.html,2001-09-13 04:18:04,2001
20010913041805,,,U.S. Army,0,0,562,1,4,pre2007,20010913041805_army.html,2001-09-13 04:18:05,2001
20010913041805,,,Wyoming,4206,0,4,1,0,pre2007,20010913041805_wy.html,2001-09-13 04:18:05,2001
20010913054613,,,Alaska,792,0,21,1,1,pre2007,20010913054613_ak.html,2001-09-13 05:46:13,2001
20010913054614,,,Alabama,0,0,0,4,88,pre2007,20010913054614_al.html,2001-09-13 05:46:14,2001
20010913054615,,,Arizona,8728,0,664,7,40,pre2007,20010913054615_az.html,2001-09-13 05:46:15,2001
20010913054616,,,California,15665,0,272,8,52,pre2007,20010913054616_ca.html,2001-09-13 05:46:16,2001
20010913054616,,,Colorado,6829,0,48,3,15,pre2007,20010913054616_co.html,2001-09-13 05:46:16,2001
20010913054617,,,DC/FBI Lab,0,0,1124,1,9,pre2007,20010913054617_dc.html,2001-09-13 05:46:17,2001
20010913054618,,,Delaware,0,0,0,1,0,pre2007,20010913054618_de.html,2001-09-13 05:46:18,2001
20010913054618,,,Florida,83493,0,2840,11,463,pre2007,20010913054618_fl.html,2001-09-13 05:46:18,2001
20010913054619,,,Hawaii,0,0,0,0,0,pre2007,20010913054619_hi.html,2001-09-13 05:46:19,2001
20010913054620,,,Illinois,21416,0,2368,8,296,pre2007,20010913054620_il.html,2001-09-13 05:46:20,2001
20010913054621,,,Kentucky,3233,0,351,1,24,pre2007,20010913054621_ky.html,2001-09-13 05:46:21,2001
20010913054622,,,Maine,2997,0,237,1,14,pre2007,20010913054622_me.html,2001-09-13 05:46:22,2001
20010913054623,,,Michigan,2036,0,81,3,16,pre2007,20010913054623_mi.html,2001-09-13 05:46:23,2001
20010913054623,,,Minnesota,9789,0,855,1,35,pre2007,20010913054623_mn.html,2001-09-13 05:46:23,2001
20010913054623,,,Missouri,18600,0,1272,4,85,pre2007,20010913054623_mo.html,2001-09-13 05:46:23,2001
20010913054624,,,Mississippi,0,0,0,1,0,pre2007,20010913054624_ms.html,2001-09-13 05:46:24,2001
20010913054626,,,North Carolina,23587,0,753,2,40,pre2007,20010913054626_nc.html,2001-09-13 05:46:26,2001
20010913054627,,,Nebraska,1215,0,0,1,0,pre2007,20010913054627_ne.html,2001-09-13 05:46:27,2001
20010913054628,,,Nevada,2367,0,87,2,7,pre2007,20010913054628_nv.html,2001-09-13 05:46:28,2001
20010913054628,,,New York,45428,0,1810,7,109,pre2007,20010913054628_ny.html,2001-09-13 05:46:28,2001
20010913054629,,,Ohio,25925,0,367,7,19,pre2007,20010913054629_oh.html,2001-09-13 05:46:29,2001
20010913054630,,,Pennsylvania,9889,0,921,3,70,pre2007,20010913054630_pa.html,2001-09-13 05:46:30,2001
20010913054631,,,Rhode Island,0,0,0,1,0,pre2007,20010913054631_ri.html,2001-09-13 05:46:31,2001
20010913054632,,,Tennessee,0,0,0,3,2,pre2007,20010913054632_tn.html,2001-09-13 05:46:32,2001
20010913054632,,,Utah,2526,0,77,1,1,pre2007,20010913054632_ut.html,2001-09-13 05:46:32,2001
20010913054633,,,Vermont,207,0,1,1,0,pre2007,20010913054633_vt.html,2001-09-13 05:46:33,2001
20010913054635,,,U.S. Army,0,0,562,1,4,pre2007,20010913054635_army.html,2001-09-13 05:46:35,2001
20010913054635,,,Wisconsin,27584,0,574,2,50,pre2007,20010913054635_wi.html,2001-09-13 05:46:35,2001
20010913121854,,,Alabama,0,0,0,4,88,pre2007,20010913121854_al.html,2001-09-13 12:18:54,2001
20010913121855,,,Arizona,8728,0,664,7,40,pre2007,20010913121855_az.html,2001-09-13 12:18:55,2001
20010913121856,,,Colorado,6829,0,48,3,15,pre2007,20010913121856_co.html,2001-09-13 12:18:56,2001
20010913121857,,,DC/FBI Lab,0,0,1124,1,9,pre2007,20010913121857_dc.html,2001-09-13 12:18:57,2001
20010913121859,,,Delaware,0,0,0,1,0,pre2007,20010913121859_de.html,2001-09-13 12:18:59,2001
20010913121900,,,Florida,83493,0,2840,11,463,pre2007,20010913121900_fl.html,2001-09-13 12:19:00,2001
20010913121901,,,Hawaii,0,0,0,0,0,pre2007,20010913121901_hi.html,2001-09-13 12:19:01,2001
20010913121902,,,Idaho,0,0,0,1,0,pre2007,20010913121902_id.html,2001-09-13 12:19:02,2001
20010913121905,,,Indiana,15802,0,84,2,0,pre2007,20010913121905_in.html,2001-09-13 12:19:05,2001
20010913121905,,,Kansas,1777,0,204,4,0,pre2007,20010913121905_ks.html,2001-09-13 12:19:05,2001
20010913121906,,,Kentucky,3233,0,351,1,24,pre2007,20010913121906_ky.html,2001-09-13 12:19:06,2001
20010913121908,,,Louisiana,0,0,0,2,0,pre2007,20010913121908_la.html,2001-09-13 12:19:08,2001
20010913121909,,,Maryland,1963,0,297,1,6,pre2007,20010913121909_md.html,2001-09-13 12:19:09,2001
20010913121910,,,Maine,2997,0,237,1,14,pre2007,20010913121910_me.html,2001-09-13 12:19:10,2001
20010913121911,,,Minnesota,9789,0,855,1,35,pre2007,20010913121911_mn.html,2001-09-13 12:19:11,2001
20010913121912,,,Missouri,18600,0,1272,4,85,pre2007,20010913121912_mo.html,2001-09-13 12:19:12,2001
20010913121913,,,Mississippi,0,0,0,1,0,pre2007,20010913121913_ms.html,2001-09-13 12:19:13,2001
20010913121914,,,Montana,0,0,0,1,0,pre2007,20010913121914_mt.html,2001-09-13 12:19:14,2001
20010913121915,,,North Carolina,23587,0,753,2,40,pre2007,20010913121915_nc.html,2001-09-13 12:19:15,2001
20010913121916,,,Nebraska,1215,0,0,1,0,pre2007,20010913121916_ne.html,2001-09-13 12:19:16,2001
20010913121917,,,New Hampshire,0,0,0,0,0,pre2007,20010913121917_nh.html,2001-09-13 12:19:17,2001
20010913121918,,,New Jersey,4911,0,271,1,6,pre2007,20010913121918_nj.html,2001-09-13 12:19:18,2001
20010913121919,,,Nevada,2367,0,87,2,7,pre2007,20010913121919_nv.html,2001-09-13 12:19:19,2001
20010913121920,,,New York,45428,0,1810,7,109,pre2007,20010913121920_ny.html,2001-09-13 12:19:20,2001
20010913121921,,,Ohio,25925,0,367,7,19,pre2007,20010913121921_oh.html,2001-09-13 12:19:21,2001
20010913121923,,,Oregon,16983,0,577,1,48,pre2007,20010913121923_or.html,2001-09-13 12:19:23,2001
20010913121924,,,Rhode Island,0,0,0,1,0,pre2007,20010913121924_ri.html,2001-09-13 12:19:24,2001
20010913121925,,,South Dakota,0,0,0,1,0,pre2007,20010913121925_sd.html,2001-09-13 12:19:25,2001
20010913121927,,,Texas,61786,0,2200,15,147,pre2007,20010913121927_tx.html,2001-09-13 12:19:27,2001
20010913121927,,,Utah,2526,0,77,1,1,pre2007,20010913121927_ut.html,2001-09-13 12:19:27,2001
20010913121928,,,Vermont,207,0,1,1,0,pre2007,20010913121928_vt.html,2001-09-13 12:19:28,2001
20010913121932,,,Washington,28983,0,72,3,8,pre2007,20010913121932_wa.html,2001-09-13 12:19:32,2001
20010913121952,,,Wisconsin,27584,0,574,2,50,pre2007,20010913121952_wi.html,2001-09-13 12:19:52,2001
20010913121955,,,West Virginia,0,0,0,1,0,pre2007,20010913121955_wv.html,2001-09-13 12:19:55,2001
20010913121956,,,Wyoming,4206,0,4,1,0,pre2007,20010913121956_wy.html,2001-09-13 12:19:56,2001
20010913121957,,,U.S. Army,0,0,562,1,4,pre2007,20010913121957_army.html,2001-09-13 12:19:57,2001
20010913191431,,,Alabama,0,0,0,4,88,pre2007,20010913191431_al.html,2001-09-13 19:14:31,2001
20010913191432,,,Arizona,8728,0,664,7,40,pre2007,20010913191432_az.html,2001-09-13 19:14:32,2001
20010913191433,,,California,15665,0,272,8,52,pre2007,20010913191433_ca.html,2001-09-13 19:14:33,2001
20010913191434,,,Connecticut,4354,0,167,1,25,pre2007,20010913191434_ct.html,2001-09-13 19:14:34,2001
20010913191435,,,Delaware,0,0,0,1,0,pre2007,20010913191435_de.html,2001-09-13 19:14:35,2001
20010913191436,,,Florida,83493,0,2840,11,463,pre2007,20010913191436_fl.html,2001-09-13 19:14:36,2001
20010913191437,,,Hawaii,0,0,0,0,0,pre2007,20010913191437_hi.html,2001-09-13 19:14:37,2001
20010913191438,,,Indiana,15802,0,84,2,0,pre2007,20010913191438_in.html,2001-09-13 19:14:38,2001
20010913191438,,,Kansas,1777,0,204,4,0,pre2007,20010913191438_ks.html,2001-09-13 19:14:38,2001
20010913191439,,,Louisiana,0,0,0,2,0,pre2007,20010913191439_la.html,2001-09-13 19:14:39,2001
20010913191440,,,Maine,2997,0,237,1,14,pre2007,20010913191440_me.html,2001-09-13 19:14:40,2001
20010913191441,,,Michigan,2036,0,81,3,16,pre2007,20010913191441_mi.html,2001-09-13 19:14:41,2001
20010913191441,,,Minnesota,9789,0,855,1,35,pre2007,20010913191441_mn.html,2001-09-13 19:14:41,2001
20010913191442,,,Mississippi,0,0,0,1,0,pre2007,20010913191442_ms.html,2001-09-13 19:14:42,2001
20010913191443,,,Nebraska,1215,0,0,1,0,pre2007,20010913191443_ne.html,2001-09-13 19:14:43,2001
20010913191444,,,New Hampshire,0,0,0,0,0,pre2007,20010913191444_nh.html,2001-09-13 19:14:44,2001
20010913191445,,,New Mexico,2899,0,41,3,3,pre2007,20010913191445_nm.html,2001-09-13 19:14:45,2001
20010913191446,,,Nevada,2367,0,87,2,7,pre2007,20010913191446_nv.html,2001-09-13 19:14:46,2001
20010913191448,,,New York,45428,0,1810,7,109,pre2007,20010913191448_ny.html,2001-09-13 19:14:48,2001
20010913191449,,,Oregon,16983,0,577,1,48,pre2007,20010913191449_or.html,2001-09-13 19:14:49,2001
20010913191450,,,Rhode Island,0,0,0,1,0,pre2007,20010913191450_ri.html,2001-09-13 19:14:50,2001
20010913191451,,,South Carolina,1658,0,198,1,3,pre2007,20010913191451_sc.html,2001-09-13 19:14:51,2001
20010913191452,,,Texas,61786,0,2200,15,147,pre2007,20010913191452_tx.html,2001-09-13 19:14:52,2001
20010913191452,,,Utah,2526,0,77,1,1,pre2007,20010913191452_ut.html,2001-09-13 19:14:52,2001
20010913191453,,,Vermont,207,0,1,1,0,pre2007,20010913191453_vt.html,2001-09-13 19:14:53,2001
20010913191454,,,U.S. Army,0,0,562,1,4,pre2007,20010913191454_army.html,2001-09-13 19:14:54,2001
